"","census_trct","ZIP","county","Latitude","Longitude","community_cat","Ozone","ozone_pct","PM2.5","PM2.5_pct","Traffic","traffic_pct","tox","tox_pct","Asthma","cardio","LBW","Education","Poverty","PM2.5_mean","ozone_mean","Traffic_mean","tox_mean","cardio_mean","pol_score","pol_score1","county_name","score_mean"
"2584",6065042509,92553,"Riverside ",33.9100514,-117.2306582,"No",0.065,98.18,12.89,92.89,572.62,38.7,571.580894,52.94,62.3,9.55,4.06,36.7,51.6,10.1646414099117,0.0625364238410596,711.339247787611,1552.22717869158,10.3298675496689,70.6775,7.60054844606947,"Riverside County",6.17751801744788
"2585",6085503204,95111,"Santa Clara",37.2891788,-121.8392542,"No",0.038,22.34,10.37,52.61,678.97,48.43,115.7124299,26.7,49.3,8.59,5.05,24.5,38.2,10.1459371275,0.0367123655913979,950.564569892473,189.450010505075,6.47645161290323,37.52,4.03484245617808,"Santa Clara County",4.21372702232984
"2586",6107000402,93618,"Tulare ",36.5529114,-119.3860655,"No",0.065,98.18,15.82,97.49,449.45,25.72,554.7212333,52.49,42.92,9.57,4.03,32,52.3,15.9375641025641,0.0620128205128205,375.999480519481,317.368836499705,9.7075641025641,68.47,7.36315732874503,"Tulare County",6.39375411125062
"2587",6037407400,91790,"Los Angeles",34.0523638,-117.9577635,"No",0.051,69.23,11.21,66.23,602.12,41.7,21264.2628,98.02,31.54,5.68,8.64,22.7,28.4,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,68.795,7.39810732336811,"Los Angeles County",7.29365672829501
"2588",6065040202,92509,"Riverside ",33.982183,-117.433385,"No",0.065,98.18,13.31,93.64,383.47,19.43,2625.643023,71.3,55.89,12.3,5.2,19.9,41.8,10.1646414099117,0.0625364238410596,711.339247787611,1552.22717869158,10.3298675496689,70.6375,7.59624690826971,"Riverside County",6.17751801744788
"2589",6037551000,90241,"Los Angeles",33.9374454,-118.112141,"No",0.046,53.02,12.05,81.66,908.04,62.95,6163.508779,85.52,39.25,7.82,4.66,19.5,35.7,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,70.7875,7.61237767501882,"Los Angeles County",7.29365672829501
"2590",6037189902,90046,"Los Angeles",34.0961801,-118.3490051,"No",0.05,64.8,12.05,81.66,1855.57,89.13,1837.555634,67,26.28,7.92,5.81,5.5,25.6,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,75.6475,8.13501451769007,"Los Angeles County",7.29365672829501
"2591",6037900806,93534,"Los Angeles",34.69644,-118.1419762,"No",0.062,91.1,6.18286598,7.76,701.72,50.17,9.118987595,8.39,154.14,16.02,7.23,25.7,74.2,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,39.355,4.23217550274223,"Los Angeles County",7.29365672829501
"2592",6071000113,91709,"San Bernardino",33.9705846,-117.7039952,"No",0.057,82.1,12.89,92.89,651.09,46.38,6150.799556,85.46,27.34,8.42,5.59,13.9,34.5,11.048341088374,0.064260162601626,802.757057220708,2422.62699287715,11.629810298103,76.7075,8.2490052693838,"San Bernardino County",7.07183875796905
"2593",6037702600,90230,"Los Angeles",33.9958996,-118.3961597,"No",0.046,53.02,12.05,81.66,1879.47,89.54,1964.094852,67.69,41.05,7.69,5.1,7.8,12.7,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,72.9775,7.84788686955587,"Los Angeles County",7.29365672829501
"2594",6077004402,95240,"San Joaquin",38.1086488,-121.2580651,"No",0.048,60.88,12.65,84.04,684.59,48.84,200.336766,35.87,48.82,9.34,3.39,23.2,35.7,12.3078712992806,0.0482158273381295,760.861151079137,999.827375224101,10.3956115107914,57.4075,6.17351328099796,"San Joaquin County",6.30607375590011
"2595",6107002008,93277,"Tulare ",36.3236674,-119.3406647,"No",0.06,85.21,17.08,98.6,674.59,48.14,1459.516652,64.06,55.19,8.17,4.06,20.7,67.6,15.9375641025641,0.0620128205128205,375.999480519481,317.368836499705,9.7075641025641,74.0025,7.9581137756748,"Tulare County",6.39375411125062
"2596",6037117202,91343,"Los Angeles",34.2429124,-118.4788675,"No",0.057,82.1,10.79,54.48,2614.32,95.78,587.3693591,53.29,80.01,9,7.95,13.6,23.7,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,71.4125,7.67958920314012,"Los Angeles County",7.29365672829501
"2597",6037201200,90032,"Los Angeles",34.0887082,-118.1785407,"No",0.048,60.88,12.05,81.66,795.45,56.46,4523.351734,78.52,66.51,9.64,6.79,44,60.1,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,69.38,7.46101731368964,"Los Angeles County",7.29365672829501
"2598",6059087103,92804,"Orange ",33.8264301,-117.9487797,"No",0.046,53.02,11.21,66.23,874.54,61.39,10362.56847,94.04,51.52,8.97,6.46,22.5,31,10.4535205969416,0.0467646048109966,1274.48031088083,17245.5838767108,6.76147766323024,68.67,7.38466501774384,"Orange County",6.95433293568254
"2599",6037501300,90601,"Los Angeles",33.9909544,-118.0536684,"No",0.046,53.02,12.05,81.66,499.75,30.73,10570.05084,94.25,64.02,12.38,6.61,16.5,21.2,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,64.915,6.98085815679105,"Los Angeles County",7.29365672829501
"2600",6001406500,94601,"Alameda ",37.7880813,-122.2169867,"No",0.03,7.58,8.69794377,30.7,598.83,41.43,342.1172625,44.29,88.63,7.36,6.97,34.5,54.3,8.77479336883333,0.0325638888888889,988.626732394366,363.221765062361,8.01725,31,3.33369179481665,"Alameda County",3.71813643447955
"2601",6037910403,93550,"Los Angeles",34.576145,-118.1254252,"No",0.062,91.1,6.18286598,7.76,950.1,65.2,7.515963729,7.71,76.68,10,8.08,44.2,88.4,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,42.9425,4.61796967415851,"Los Angeles County",7.29365672829501
"2602",6059074806,92703,"Orange ",33.7368361,-117.8922742,"No",0.046,53.02,10.37,52.61,829.39,58.97,19764.30782,97.67,29.76,5.29,5.79,57.3,67.9,10.4535205969416,0.0467646048109966,1274.48031088083,17245.5838767108,6.76147766323024,65.5675,7.05102699214969,"Orange County",6.95433293568254
"2603",6077003217,95209,"San Joaquin",38.0224563,-121.3549153,"No",0.046,53.02,12.75,84.16,1693.34,86.69,302.8626738,42.44,44.91,6,8.35,15.9,51.4,12.3078712992806,0.0482158273381295,760.861151079137,999.827375224101,10.3956115107914,66.5775,7.15964082159372,"San Joaquin County",6.30607375590011
"2604",6037212410,90005,"Los Angeles",34.0595607,-118.3022262,"No",0.048,60.88,12.89,92.89,1394.99,80.64,2866.446252,72.62,38.64,7,2.68,31.6,51.6,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,76.7575,8.25438219163351,"Los Angeles County",7.29365672829501
"2605",6037134103,91306,"Los Angeles",34.2185595,-118.5814401,"No",0.057,82.1,10.37,52.61,1204.8,75.35,420.5793278,48.07,63.65,11.42,8.03,22.5,35.1,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,64.5325,6.93972470158082,"Los Angeles County",7.29365672829501
"2606",6065041904,92882,"Riverside ",33.8836237,-117.6564424,"No",0.057,82.1,12.47,83.99,3063.84,97.61,5609.40186,82.89,30.36,10.17,4.74,13.2,24,10.1646414099117,0.0625364238410596,711.339247787611,1552.22717869158,10.3298675496689,86.6475,9.31793741262501,"Riverside County",6.17751801744788
"2607",6019004409,93711,"Fresno ",36.8437897,-119.811928,"No",0.062,91.1,15.4,97.22,557.95,37.16,2624.279838,71.28,55.19,5.57,6.52,8.1,30.5,15.1907207358291,0.0634723618090452,413.337715736041,3622.53593563657,9.67185929648241,74.19,7.97827723411119,"Fresno County",7.54524120545684
"2608",6037218110,90019,"Los Angeles",34.0443254,-118.3275531,"No",0.048,60.88,12.89,92.89,1044.97,69.65,2502.207007,70.55,56.71,7.18,4.6,25.3,36.4,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,73.4925,7.90326916872782,"Los Angeles County",7.29365672829501
"2609",6077005307,95376,"San Joaquin",37.7508835,-121.4445217,"No",0.053,73.93,10.37,52.61,463.61,27.08,299.8534983,42.32,114.99,11.75,7.14,17.6,38.5,12.3078712992806,0.0482158273381295,760.861151079137,999.827375224101,10.3956115107914,48.985,5.26777072803527,"San Joaquin County",6.30607375590011
"2610",6059086305,92806,"Orange ",33.829141,-117.8794788,"No",0.046,53.02,11.21,66.23,3573.02,98.78,36119.3434,99.18,64.35,10.34,6.93,14.7,18.9,10.4535205969416,0.0467646048109966,1274.48031088083,17245.5838767108,6.76147766323024,79.3025,8.52806753414346,"Orange County",6.95433293568254
"2611",6037134303,91303,"Los Angeles",34.203248,-118.611899,"No",0.057,82.1,10.37,52.61,1003.75,67.89,373.6375015,45.86,45.23,7.3,5.54,21.4,25.5,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,62.115,6.67975051080761,"Los Angeles County",7.29365672829501
"2612",6059052410,92618,"Orange ",33.6380921,-117.7183865,"No",0.05,64.8,8.69794377,30.7,2538.97,95.21,4447.804992,78.26,28.19,7.32,5.46,12.5,25.4,10.4535205969416,0.0467646048109966,1274.48031088083,17245.5838767108,6.76147766323024,67.2425,7.23115388751479,"Orange County",6.95433293568254
"2613",6085503207,95121,"Santa Clara",37.2944974,-121.8153841,"No",0.038,22.34,10.37,52.61,1674.62,86.38,120.5378752,27.25,39.13,8.37,5.52,28.4,23,10.1459371275,0.0367123655913979,950.564569892473,189.450010505075,6.47645161290323,47.145,5.06989998924615,"Santa Clara County",4.21372702232984
"2614",6001427200,94501,"Alameda ",37.7847324,-122.2529164,"No",0.03,7.58,8.69794377,30.7,954.43,65.4,316.7112746,43.02,61.42,8.87,4.96,9.8,30.3,8.77479336883333,0.0325638888888889,988.626732394366,363.221765062361,8.01725,36.675,3.94397247015808,"Alameda County",3.71813643447955
"2615",6007001000,95928,"Butte ",39.7293637,-121.8344873,"No",0.048,60.88,9.53630303,40.92,663.84,47.29,9.344332037,8.52,42.95,7.79,5.19,9.3,65.9,9.05136973215686,0.0502156862745098,346.159019607843,5.11659702223529,9.90627450980392,39.4025,4.23728357887945,"Butte County",3.32163589169403
"2616",6101050501,95993,"Sutter ",39.134305,-121.6664276,"No",0.048,60.88,8.69794377,30.7,413.11,22.38,0.170720076,3.12,20.42,8.47,6.21,26.1,46.6,8.57817816142857,0.0484761904761905,312.471428571429,3.54754145642857,10.5519047619048,29.27,3.14765028497688,"Sutter County",2.95012520547524
"2617",6019001412,93727,"Fresno ",36.7435858,-119.6639753,"No",0.065,98.18,15.4,97.22,290.68,11.35,1862.561078,67.12,61.71,8.76,6.37,14.1,37.7,15.1907207358291,0.0634723618090452,413.337715736041,3622.53593563657,9.67185929648241,68.4675,7.36288848263254,"Fresno County",7.54524120545684
"2618",6065031501,92504,"Riverside ",33.929195,-117.4320467,"No",0.062,91.1,12.47,83.99,1308.41,78.43,3475.055986,74.96,59.09,9.65,3.18,23.6,39.7,10.1646414099117,0.0625364238410596,711.339247787611,1552.22717869158,10.3298675496689,82.12,8.83105710291429,"Riverside County",6.17751801744788
"2619",6037212610,90005,"Los Angeles",34.0598448,-118.3138698,"No",0.048,60.88,12.89,92.89,1306.84,78.37,2676.757426,71.64,38.64,7,3.91,22.7,48.2,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,75.945,8.16700720507582,"Los Angeles County",7.29365672829501
"2620",6073014803,91942,"San Diego",32.7788537,-117.0229522,"No",0.044,40.49,10.79,54.48,1201.13,75.26,116.7767542,26.84,75.31,9.73,4.3,8.8,33.1,10.61353349126,0.0426762360446571,1065.619136,231.892956331011,6.233668261563,49.2675,5.2981503387461,"San Diego County",4.76004473599312
"2621",6037311100,91505,"Los Angeles",34.1856903,-118.3546268,"No",0.055,77.87,12.05,81.66,970.37,66.19,1380.9115,63.37,40.63,7.25,5.24,14.9,21.6,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,72.2725,7.77207226583504,"Los Angeles County",7.29365672829501
"2622",6071010014,92345,"San Bernardino",34.4359597,-117.3059014,"No",0.065,98.18,7.44040487,11.8,575.58,38.95,181.8497425,34.04,69.09,12.69,6.25,33.5,73.9,11.048341088374,0.064260162601626,802.757057220708,2422.62699287715,11.629810298103,45.7425,4.91907732014195,"San Bernardino County",7.07183875796905
"2623",6067007403,95660,"Sacramento ",38.6775875,-121.3719125,"No",0.051,69.23,9.53630303,40.92,629.81,44.34,82.37495866,23.67,116.45,13.16,5.52,14.2,53.3,9.22952172350158,0.0498233438485804,866.968196202532,226.161668575962,9.58914826498423,44.54,4.78976234003656,"Sacramento County",4.848758747708
"2624",6059099223,92683,"Orange ",33.7376141,-117.9590751,"No",0.046,53.02,11.21,66.23,818.31,58.22,15202.90013,96.57,32.81,7.53,6.31,21.5,47.5,10.4535205969416,0.0467646048109966,1274.48031088083,17245.5838767108,6.76147766323024,68.51,7.36745886654479,"Orange County",6.95433293568254
"2625",6073010012,92173,"San Diego",32.5607791,-117.0584994,"No",0.035,16.94,14.15,94.96,850.25,59.94,808.705701,57.82,59.8,9.59,4.91,45.4,63.5,10.61353349126,0.0426762360446571,1065.619136,231.892956331011,6.233668261563,57.415,6.17431981933541,"San Diego County",4.76004473599312
"2626",6037481201,91780,"Los Angeles",34.0976177,-118.0710962,"No",0.05,64.8,11.21,66.23,823.15,58.5,5014.62007,80.37,22.77,6.31,4.07,15.1,33,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,67.475,7.25615657597591,"Los Angeles County",7.29365672829501
"2627",6077003106,95219,"San Joaquin",38.0003872,-121.362321,"No",0.046,53.02,13.44,94,2042.2,91.33,355.6622557,44.94,39.06,8.95,8.16,6.3,26.4,12.3078712992806,0.0482158273381295,760.861151079137,999.827375224101,10.3956115107914,70.8225,7.61614152059361,"San Joaquin County",6.30607375590011
"2628",6071003605,92316,"San Bernardino",34.0813583,-117.392117,"No",0.065,98.18,12.89,92.89,380.75,19.14,2325.612739,69.58,45.14,8.36,5.64,26.6,47.4,11.048341088374,0.064260162601626,802.757057220708,2422.62699287715,11.629810298103,69.9475,7.52204538122379,"San Bernardino County",7.07183875796905
"2629",6037404202,91702,"Los Angeles",34.1250526,-117.8857465,"No",0.055,77.87,11.21,66.23,1782.66,88.17,4551.04876,78.62,61.31,8.44,4.89,22.2,56.4,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,77.7225,8.3581567910528,"Los Angeles County",7.29365672829501
"2630",6037141302,91403,"Los Angeles",34.1536798,-118.46283,"No",0.053,73.93,11.21,66.23,4000.17,99.41,980.4990358,59.98,38.56,12.75,5.98,3.3,19.4,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,74.8875,8.05328529949457,"Los Angeles County",7.29365672829501
"2631",6001444500,94560,"Alameda ",37.5342611,-122.0273559,"No",0.035,16.94,9.53630303,40.92,1413.37,80.99,150.5777159,30.84,73.21,10.59,5.2,16.7,29.2,8.77479336883333,0.0325638888888889,988.626732394366,363.221765062361,8.01725,42.4225,4.56204968276159,"Alameda County",3.71813643447955
"2632",6071011900,92347,"San Bernardino",34.9440127,-117.0754285,"No",0.06,85.21,6.38046457,7.91,378.91,18.86,7.630384348,7.73,139.41,17.17,5.76,16.8,35,11.048341088374,0.064260162601626,802.757057220708,2422.62699287715,11.629810298103,29.9275,3.21835681256049,"San Bernardino County",7.07183875796905
"2633",6071012101,92307,"San Bernardino",34.5925409,-117.2235881,"No",0.065,98.18,7.02122524,10.74,568.41,38.33,294.3134897,42.12,98.56,14.81,6.27,9.8,36.9,11.048341088374,0.064260162601626,802.757057220708,2422.62699287715,11.629810298103,47.3425,5.09113883213249,"San Bernardino County",7.07183875796905
"2634",6085501700,95110,"Santa Clara",37.3232689,-121.8863954,"No",0.035,16.94,10.37,52.61,2073.77,91.69,194.1105026,35.25,47.72,5.62,4.48,46,60.5,10.1459371275,0.0367123655913979,950.564569892473,189.450010505075,6.47645161290323,49.1225,5.28255726422196,"Santa Clara County",4.21372702232984
"2635",6037407101,91746,"Los Angeles",34.0478649,-117.9723257,"No",0.05,64.8,11.63,69.14,558.37,37.2,21767.81717,98.14,47.99,8.48,4.36,33.7,42.3,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,67.32,7.23948811700183,"Los Angeles County",7.29365672829501
"2636",6001405902,94606,"Alameda ",37.7909446,-122.240953,"No",0.03,7.58,8.69794377,30.7,276.41,10.26,333.1285296,43.75,97,7.21,6.65,46.5,59,8.77479336883333,0.0325638888888889,988.626732394366,363.221765062361,8.01725,23.0725,2.48118077212603,"Alameda County",3.71813643447955
"2637",6101050900,95957,"Sutter ",38.975616,-121.7595873,"No",0.048,60.88,8.27876414,20.16,69.33,0.39,14.0140091,10.28,80.73,9.88,3.95,25.4,45.3,8.57817816142857,0.0484761904761905,312.471428571429,3.54754145642857,10.5519047619048,22.9275,2.46558769760189,"Sutter County",2.95012520547524
"2638",6037551300,90241,"Los Angeles",33.9352796,-118.1339117,"No",0.044,40.49,12.05,81.66,906.78,62.93,6551.429141,86.85,45.31,8.65,3.78,30.2,48.5,11.5130253011358,0.0496103286384977,1299.81108143042,5060.15602120787,8.29035424669227,67.9825,7.31073233681041,"Los Angeles County",7.29365672829501
