"","county_name","year","county_fips","hhpop","horate","medhhincome","long","lat","order","hole","piece","group","state_abbv","state_fips","fips_class","state_name","cardio_mean","pol_score","PM2.5_mean","ozone_mean"
"46","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.059031,37.475548,26653,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"47","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.068539,37.491202,26654,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"48","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.092442,37.499489,26655,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"49","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.111344,37.50758,26656,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"50","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.11144457,37.51085104,26657,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"51","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.111998,37.528851,26658,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"52","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.128688,37.560594,26659,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"53","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.133924,37.562885,26660,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"54","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.137524,37.567467,26661,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"55","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.144396,37.581866,26662,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"56","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.147014,37.588411,26663,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"57","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.145378,37.600846,26664,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"58","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.14636,37.607391,26665,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"59","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.152905,37.640771,26666,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"60","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.16280252,37.66727301,26667,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"61","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.163049,37.667933,26668,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"62","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.170904,37.676114,26669,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"63","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.179085,37.680041,26670,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"64","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.197411,37.692804,26671,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"65","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.203971,37.697769,26672,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"66","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.213774,37.698695,26673,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"67","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.221628,37.705567,26674,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"68","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.246826,37.72193,26675,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"69","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.255989,37.735674,26676,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"70","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.257953,37.739601,26677,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"71","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.257134,37.745001,26678,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"72","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.252226,37.747619,26679,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"73","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.244938,37.750294,26680,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"74","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.242638,37.753744,26681,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"75","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.253753,37.761218,26682,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
"76","Alameda County",2015,"06001",571605,0.527495385799634,81000,-122.264101,37.764667,26683,FALSE,"1","06001.1","CA","06","H1","California",8.01725,43.265,8.77479336883333,0.0325638888888889
